EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,Time,time_location,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
482823,BRANCH (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Winter Weather, , ,0,0,0,0,Michigan,EST-5, ,80642,Z,80,IWX,0,0,CoCoRaHS, , , , , , , , , , , , ,A long duration light snow event started late in the afternoon on New Year´è_´è_´è_s Eve and continued through January 2nd as several upper level disturbances tracked east along a frontal boundary. Snowfall totals over the 2 days ranged between 7 and 10 inches. Temperatures in the teens allowed for roads to remain snow covered and slick with several accidents and slide-offs reported across the region.,A long duration light to moderate snow event impacted southern Michigan to start 2014. Snowfall totals ranged between 6 and 12 inches.,1
482826,ST. JOSEPH (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Winter Weather, , ,0,0,0,0,Michigan,EST-5, ,80642,Z,79,IWX,0,0,CoCoRaHS, , , , , , , , , , , , ,A long duration light snow event started late in the afternoon on New Year´è_´è_´è_s Eve and continued through January 2nd as several upper level disturbances tracked east along a frontal boundary. Snowfall totals over the 2 days ranged between 7 and 10 inches. Temperatures in the teens allowed for roads to remain snow covered and slick with several accidents and slide-offs reported across the region.,A long duration light to moderate snow event impacted southern Michigan to start 2014. Snowfall totals ranged between 6 and 12 inches.,2
482825,CASS (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Winter Storm, , ,0,0,0,0,Michigan,EST-5, ,80642,Z,78,IWX,0,0,Trained Spotter, , , , , , , , , , , , ,A long duration snow event started late in the afternoon on New Year´è_´è_´è_s Eve and continued through January 2nd as several upper level disturbances tracked east along a frontal boundary. Snowfall totals over the 2 days ranged between 7 and 12 inches. A spotter reported 9.6 inches of total snow accumulation in Dowagiac. Temperatures in the teens allowed for roads to remain snow covered and slick with several accidents and slide-offs reported across the region.,A long duration light to moderate snow event impacted southern Michigan to start 2014. Snowfall totals ranged between 6 and 12 inches.,3
482824,BERRIEN (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Winter Storm, , ,0,0,0,0,Michigan,EST-5, ,80642,Z,77,IWX,0,0,Trained Spotter, , , , , , , , , , , , ,A long duration snow event started late in the afternoon on New Year´è_´è_´è_s Eve and continued through January 2nd as several upper level disturbances tracked east along a frontal boundary. Snowfall totals over the 2 days ranged between 8 and 12 inches. Temperatures in the teens allowed for roads to remain snow covered and slick with several accidents and slide-offs reported across the region.,A long duration light to moderate snow event impacted southern Michigan to start 2014. Snowfall totals ranged between 6 and 12 inches.,4
482822,HILLSDALE (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Winter Weather, , ,0,0,0,0,Michigan,EST-5, ,80642,Z,81,IWX,0,0,Trained Spotter, , , , , , , , , , , , ,A long duration light snow event started late in the afternoon on New Year´è_´è_´è_s Eve and continued through January 2nd as several upper level disturbances tracked east along a frontal boundary. Snowfall totals over the 2 days ranged between 8 and 11 inches. Temperatures in the teens allowed for roads to remain snow covered and slick with several accidents and slide-offs reported across the region.,A long duration light to moderate snow event impacted southern Michigan to start 2014. Snowfall totals ranged between 6 and 12 inches.,5
487835,MARQUETTE (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Cold/Wind Chill, , ,0,0,0,0,Michigan,EST-5, ,81307,Z,5,MQT,0,0,AWOS, , , , , , , , , , , , ,The K.I. Sawyer AWOS recorded wind chills between 25 and 30 below zero for the early morning of the 1st.,Arctic air spreading into the area along with wind around 10 mph at times caused wind chill readings in the 25 to 30 below zero range over portions of west and central Upper Michigan for the early morning of the 1st.,6
487834,IRON (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Cold/Wind Chill, , ,0,0,0,0,Michigan,CST-6, ,81307,Z,10,MQT,0,0,Mesonet, , , , , , , , , , , , ,Wind chills were between 25 and 30 below zero for the early morning of the 1st.,Arctic air spreading into the area along with wind around 10 mph at times caused wind chill readings in the 25 to 30 below zero range over portions of west and central Upper Michigan for the early morning of the 1st.,7
487833,ONTONAGON (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Cold/Wind Chill, , ,0,0,0,0,Michigan,EST-5, ,81307,Z,2,MQT,0,0,Mesonet, , , , , , , , , , , , ,Wind chills over the interior were between 25 and 30 below zero for the early morning of the 1st.,Arctic air spreading into the area along with wind around 10 mph at times caused wind chill readings in the 25 to 30 below zero range over portions of west and central Upper Michigan for the early morning of the 1st.,8
487832,GOGEBIC (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Cold/Wind Chill, , ,0,0,0,0,Michigan,CST-6, ,81307,Z,9,MQT,0,0,AWOS, , , , , , , , , , , , ,The Ironwood AWOS recorded wind chills between 25 and 30 below zero.,Arctic air spreading into the area along with wind around 10 mph at times caused wind chill readings in the 25 to 30 below zero range over portions of west and central Upper Michigan for the early morning of the 1st.,9
490124,WAYNE (ZONE), ,1/1/14,0,0:00,2014-01-01  0:00:00 | Michigan,Heavy Snow, , ,0,0,0,0,Michigan,EST-5, ,81686,Z,76,DTX,0,0,Trained Spotter, , , , , , , , , , , , ,,"A stationary frontal boundary produced a long duration snowfall over southeast Michigan. Up to eleven inches over a 40 hour period fell across Monroe and Wayne counties, with amounts quickly tapering off farther North. Here are some higher amounts reported:|Wyandotte...9.9 inches.|Carleton...   9.8 inches.|Riverview...  9.5 inches.|Monroe (2W)... 9.0 inches. |Temperance... 8.1 inches.",10
