EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,Time,time_location,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
489525,RUBY MOUNTAINS/E HUMBOLDT RANGE (ZONE), ,1/29/14,2330,23:30,2014-01-29  23:00:00 | Nevada,Heavy Snow, , ,0,0,0,0,Nevada,PST-8, ,81573,Z,34,LKN,0,0,SNOTEL, , , , , , , , , , , , ,Many SNOTEL sites reported between 8 and 13 inches of new snow.,"A winter storm brought 6 to 9 inches of snow to the valleys of White Pine, southern Lander and southern Eureka counties. In the mountains, 8 to 15 inches of snow fell. The Ruby Mountains and East Humboldt also received 8 to 13 inches of snow.",1
498935,GREATER LAKE TAHOE AREA (ZONE), ,1/30/14,0,0:00,2014-01-30  0:00:00 | Nevada,Heavy Snow, , ,0,0,0,0,Nevada,PST-8, ,82785,Z,2,REV,0,0,Public, , , , , , , , , , , , ,"Between 12 and 18 inches of snow fell in the Carson Range from near Incline Village (Diamond Peak ski area) south to Marlette Lake on the 20th. At Lake Tahoe level, the Glenbrook CO-OP site reported 9 inches of snowfall.","Low pressure moved from the eastern Pacific into the West on the 30th, bringing heavy snow and rain to the Carson Range/Sierra and western Nevada.",2
489518,S LANDER & S EUREKA (ZONE), ,1/30/14,30,0:30,2014-01-30  0:00:00 | Nevada,Heavy Snow, , ,0,0,0,0,Nevada,PST-8, ,81573,Z,37,LKN,0,0,COOP Observer, , , , , , , , , , , , ,The town of Eureka picked up 7 inches of snow and the Big Creek Summit SNOTEL reported 9 inches of snow.,"A winter storm brought 6 to 9 inches of snow to the valleys of White Pine, southern Lander and southern Eureka counties. In the mountains, 8 to 15 inches of snow fell. The Ruby Mountains and East Humboldt also received 8 to 13 inches of snow.",3
489509,WHITE PINE (ZONE), ,1/30/14,200,2:00,2014-01-30  2:00:00 | Nevada,Heavy Snow, , ,0,0,0,0,Nevada,PST-8, ,81573,Z,35,LKN,0,0,COOP Observer, , , , , , , , , , , , ,"Valley locations received 6 to 9 inches of snow while the mountains picked up 8 to 15 inches of snow. Some amounts included: 9 inches in the Ely area, 7 inches at McGill and 6 inches at Lund. The Great Basin National Park Visitors Center reported 15 inches of new snow.","A winter storm brought 6 to 9 inches of snow to the valleys of White Pine, southern Lander and southern Eureka counties. In the mountains, 8 to 15 inches of snow fell. The Ruby Mountains and East Humboldt also received 8 to 13 inches of snow.",4
498937,GREATER RENO/CARSON CITY/MINDEN AREA (ZONE), ,1/30/14,300,3:00,2014-01-30  3:00:00 | Nevada,Heavy Snow, , ,0,0,0,0,Nevada,PST-8, ,82785,Z,3,REV,0,0,Trained Spotter, , , , , , , , , , , , ,"Five to 10 inches of snow fell between Carson City and Minden-Gardnerville on the 30th, with 12 inches of snow in Double Springs (5 miles north of Topaz Lake). Power was knocked out per a report 3 miles NNE of Topaz Lake.","Low pressure moved from the eastern Pacific into the West on the 30th, bringing heavy snow and rain to the Carson Range/Sierra and western Nevada.",5
493121,LAS VEGAS VALLEY (ZONE), ,1/30/14,1315,13:15,2014-01-30  13:00:00 | Nevada,Strong Wind,43, ,0,0,25000,0,Nevada,PST-8,MG,82009,Z,20,VEF,0,0,Broadcast Media, , , , , , , , , , , , ,"Strong winds in the Las Vegas Valley knocked down at least two trees and one set of power lines, and threw a covered horse corral over a fence. About 4000 customers lost power. The peak gust was measured at McCarran Airport.",Strong southwest winds ahead of an approaching cold front caused minor damage in the Las Vegas Valley.,6
493123,SPRING MOUNTAINS (ZONE), ,1/30/14,1532,15:32,2014-01-30  15:00:00 | Nevada,High Wind,54, ,0,0,0,0,Nevada,PST-8,MG,82009,Z,19,VEF,0,0,Mesonet, , , , , , , , , , , , ,This gust occurred 3 miles NE of Mount Charleston at 8818 feet.,Strong southwest winds ahead of an approaching cold front caused minor damage in the Las Vegas Valley.,7
504502,GREATER RENO/CARSON CITY/MINDEN AREA (ZONE), ,2/8/14,1300,13:00,2014-02-08  13:00:00 | Nevada,Strong Wind,43, ,0,0,10000,0,Nevada,PST-8,MG,83551,Z,3,REV,0,0,Mesonet, , , , , , , , , , , , ,"Most areas in the Reno-Carson City-Minden area recorded wind gusts of between 40 and 50 mph on the 8th. However, foothill areas along Interstate 580 south of Reno (very wind prone) reported wind gusts of 60 to 73 mph. The strong winds caused trees to be downed along with the spilling of large boulders onto a I-580 access road at the south end of Washoe Valley.","A warm, subtropical tap brought heavy, wet snow to the high Sierra on the 8th and 9th. In the lee of the Sierra into far western Nevada, heavy rain and strong gusty winds were reported.",8
504501,GREATER LAKE TAHOE AREA (ZONE), ,2/8/14,1500,15:00,2014-02-08  15:00:00 | Nevada,Heavy Snow, , ,0,0,0,0,Nevada,PST-8, ,83551,Z,2,REV,0,0,Public, , , , , , , , , , , , ,"The Mount Rose and Diamond Peak ski areas reported between 2 and 3 feet of heavy, wet snow on the 8th and 9th. South of highway 50, 14 inches was reported at the Daggett Pass Fire Station. Below 7,000 feet, 10 inches of snow fell in Incline Village down to 6,700 feet. Near Lake Tahoe level, precipitation fell mostly as rain.","A warm, subtropical tap brought heavy, wet snow to the high Sierra on the 8th and 9th. In the lee of the Sierra into far western Nevada, heavy rain and strong gusty winds were reported.",9
489936,ELKO CO.,LEE,2/10/14,1100,11:00,2014-02-10  11:00:00 | Nevada,Flood, , ,0,0,1000,0,Nevada,PST-8, ,81642,C,7,LKN,0,0,NWS Employee,Ice Jam, , ,7,WNW,7,WNW,LEE,40.6214,-115.7271,40.6239,-115.7267,Ice jam flooding was observed along Huntington Creek near Twin Bridges. Moderate rainfall over the past 48 hours caused a steady rise of water in Huntington Creek.  Large blocks of ice carried by the water created an ice jam that caused water to flow over Hamilton stage road and the Twin Bridges. Ice jams were reported along the creek for 2.5 miles upstream from Twin Bridges.,Moderate rainfall over the past 48 hours caused a steady rise on Huntington Creek. Large blocks of ice carried by the water created an ice jam that caused water to flow out of the banks of Huntington Creek and over the Hamilton Stage road and over the Twin Bridges.,10
